ImageName: test_1.png Down: 525, Right: 230, Distance: 4.99
ImageName: test_2.png Down: 536, Right: 475, Distance: 3.91
ImageName: test_3.png Down: 454, Right: 318, Distance: 7.70
ImageName: test_4.png Down: 419, Right: 300, Distance: 20.18
ImageName: test_5.png Down: 601, Right: 346, Distance: 3.05
ImageName: test_5.png Down: 453, Right: 265, Distance: 7.04
ImageName: train_2_dist10.png Down: 450, Right: 165, Distance: 12.79
ImageName: train_2_dist10.png Down: 432, Right: 43, Distance: 33.63
ImageName: train_2_dist10.png Down: 448, Right: 361, Distance: 27.52
ImageName: train_2_dist10.png Down: 473, Right: 157, Distance: 50.45
ImageName: train_2_dist10.png Down: 529, Right: 38, Distance: 14.89
ImageName: train_3_dist15.png Down: 518, Right: 68, Distance: 13.55
ImageName: train_4_dist5.png Down: 318, Right: 164, Distance: 4.45
ImageName: train_4_dist5.png Down: 323, Right: 414, Distance: 9.66
ImageName: train_4_dist5.png Down: 288, Right: 580, Distance: 37.83
ImageName: train_4_dist5.png Down: 304, Right: 576, Distance: 33.63
ImageName: train_5_dist25.png Down: 398, Right: 133, Distance: 23.28
ImageName: train_5_dist25.png Down: 495, Right: 19, Distance: 25.94
ImageName: train_6_dist10.png Down: 460, Right: 329, Distance: 8.49
ImageName: train_6_dist10.png Down: 482, Right: 533, Distance: 9.08
ImageName: train_6_dist10.png Down: 646, Right: 179, Distance: 3.90
ImageName: train_6_dist10.png Down: 800, Right: 116, Distance: 4.37
ImageName: train_7_dist10.png Down: 800, Right: 252, Distance: 2.55
ImageName: train_7_dist10.png Down: 800, Right: 535, Distance: 4.24
ImageName: train_10_dist20.png Down: 419, Right: 490, Distance: 18.53
ImageName: train_12_dist8.png Down: 500, Right: 429, Distance: 7.50
ImageName: train_13_dist6.png Down: 493, Right: 428, Distance: 5.64
ImageName: train_14_dist16.png Down: 549, Right: 328, Distance: 14.65
ImageName: train_15_dist3.png Down: 487, Right: 426, Distance: 3.07
ImageName: train_16_dist24.png Down: 470, Right: 439, Distance: 23.28
ImageName: train_17_dist8.png Down: 500, Right: 342, Distance: 8.11
ImageName: train_18_dist5.png Down: 565, Right: 234, Distance: 4.88
ImageName: train_19_dist15.png Down: 411, Right: 428, Distance: 14.41
ImageName: train_20_dist8.png Down: 496, Right: 180, Distance: 7.63
ImageName: train_21_dist10.png Down: 394, Right: 317, Distance: 9.76
ImageName: train_22_dist7.png Down: 350, Right: 481, Distance: 6.49
ImageName: train_24_dist12.png Down: 436, Right: 322, Distance: 11.07
ImageName: train_25_dist19.png Down: 417, Right: 136, Distance: 17.13
ImageName: train_25_dist19.png Down: 502, Right: 128, Distance: 22.70
ImageName: train_27_dist30.png Down: 418, Right: 98, Distance: 26.71
ImageName: train_29_dist5.png Down: 569, Right: 312, Distance: 5.19
ImageName: train_31_dist10.png Down: 613, Right: 299, Distance: 8.90
